                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8135,                 3.1656,                 1.6669,                0.34208,                0.28796,                0.19477,                0.09973,                 1.8862,                 2.6426,                 1.7679,             0.00030194,             0.00030194,             0.00030194
                      2,                 1.7499,                 2.3494,                 1.5959,                0.30443,                0.35771,                0.27067,                0.13616,                 1.8934,                 2.2811,                 1.6744,             0.00058098,             0.00058098,             0.00058098
                      3,                 1.6896,                  2.204,                  1.556,                0.33093,                0.30637,                0.27691,                0.13756,                 1.9362,                 2.2931,                 1.7256,             0.00083603,             0.00083603,             0.00083603
                      4,                  1.661,                 2.1266,                 1.5381,                0.25948,                0.34213,                  0.259,                0.13081,                 1.8846,                 2.4029,                 1.7273,             0.00080101,             0.00080101,             0.00080101
                      5,                 1.6364,                 2.0439,                 1.5262,                0.28717,                0.38777,                0.29765,                0.14514,                 1.8248,                 2.2478,                 1.6922,             0.00080101,             0.00080101,             0.00080101
                      6,                  1.608,                 1.9924,                 1.5041,                0.36906,                0.37873,                0.32439,                0.16467,                 1.8318,                 2.3098,                 1.6335,             0.00076501,             0.00076501,             0.00076501
                      7,                 1.5901,                 1.9088,                 1.4869,                0.40146,                0.40543,                0.36252,                0.18429,                 1.7757,                 1.9925,                 1.6317,             0.00072902,             0.00072902,             0.00072902
                      8,                 1.5473,                 1.8657,                 1.4721,                0.44134,                0.44361,                0.39403,                0.19476,                 1.7928,                 1.9354,                 1.6084,             0.00069302,             0.00069302,             0.00069302
                      9,                 1.5425,                 1.8125,                 1.4568,                0.46943,                0.45021,                0.42091,                0.21463,                 1.7314,                 1.8899,                 1.5491,             0.00065703,             0.00065703,             0.00065703
                     10,                 1.5135,                 1.7701,                 1.4393,                0.50311,                0.44083,                0.43421,                0.21842,                 1.7451,                 1.8188,                  1.566,             0.00062103,             0.00062103,             0.00062103
                     11,                 1.4844,                 1.6987,                 1.4196,                0.48243,                0.47047,                0.43435,                0.22814,                 1.7013,                 1.8296,                 1.5358,             0.00058503,             0.00058503,             0.00058503
                     12,                 1.4531,                 1.6566,                 1.4053,                0.45475,                0.46946,                0.42392,                0.22087,                 1.7305,                 1.8218,                 1.5618,             0.00054904,             0.00054904,             0.00054904
                     13,                 1.4568,                 1.6303,                 1.4002,                0.50607,                0.48059,                0.45188,                0.23796,                 1.7064,                 1.7926,                 1.5648,             0.00051304,             0.00051304,             0.00051304
                     14,                 1.4461,                   1.57,                  1.391,                0.48879,                0.48352,                 0.4609,                0.24321,                 1.7216,                 1.7413,                 1.5656,             0.00047704,             0.00047704,             0.00047704
                     15,                 1.4231,                 1.5427,                 1.3807,                0.47033,                0.50249,                0.46477,                0.25096,                 1.6896,                 1.7546,                 1.5654,             0.00044105,             0.00044105,             0.00044105
                     16,                 1.4266,                 1.4491,                 1.4022,                0.53463,                0.47849,                0.47736,                0.25038,                 1.7038,                 1.7208,                 1.5668,             0.00040505,             0.00040505,             0.00040505
                     17,                 1.3955,                 1.3269,                 1.3812,                0.49069,                0.50874,                0.46739,                0.24781,                 1.7125,                 1.7067,                 1.5598,             0.00036905,             0.00036905,             0.00036905
                     18,                 1.3579,                 1.2735,                 1.3541,                0.49308,                0.52409,                0.47708,                0.25939,                 1.7126,                 1.6769,                 1.5773,             0.00033306,             0.00033306,             0.00033306
                     19,                  1.329,                 1.2079,                 1.3322,                0.52232,                0.50882,                0.47975,                0.25278,                 1.7284,                 1.6846,                 1.5966,             0.00029706,             0.00029706,             0.00029706
                     20,                 1.3005,                 1.1544,                 1.3078,                0.54577,                0.49571,                0.48525,                0.26286,                 1.7306,                 1.6557,                 1.5879,             0.00026106,             0.00026106,             0.00026106
                     21,                 1.2772,                 1.1203,                 1.2968,                0.56393,                0.47975,                0.48191,                0.25985,                 1.7498,                 1.6431,                 1.6036,             0.00022507,             0.00022507,             0.00022507
                     22,                 1.2447,                 1.0671,                 1.2778,                0.56151,                 0.5117,                0.49363,                0.26359,                 1.7503,                  1.633,                  1.601,             0.00018907,             0.00018907,             0.00018907
                     23,                 1.2233,                 1.0269,                 1.2576,                0.56401,                0.50304,                0.49691,                0.27061,                 1.7395,                 1.6302,                 1.6024,             0.00015308,             0.00015308,             0.00015308
                     24,                 1.1919,                 0.9927,                 1.2446,                 0.5674,                0.50356,                0.49902,                0.27115,                 1.7517,                 1.6001,                 1.6317,             0.00011708,             0.00011708,             0.00011708
                     25,                 1.1603,                 0.9559,                  1.231,                0.57712,                0.50148,                  0.494,                0.27233,                 1.7625,                 1.6117,                  1.636,             8.1083e-05,             8.1083e-05,             8.1083e-05
